site,datetime,x,y,layer,obsval
twgw_0_4015,2018-03-26 19:12:00,4378.0423785322955,-1795.79023572067,1,34.19883452
twgw_0_4518,2018-03-24 00:00:00,2618.279513933654,-1498.6932103263841,1,33.9946
twgw_2_1960,2018-02-03 09:36:00,7346.139044750419,-0.30556947770839926,3,34.45129658
twgw_0_3385,2018-03-15 14:24:00,3661.007335486058,459.4611404212613,1,34.88260872
twgw_2_4518,2018-04-13 09:36:00,2581.2893564558844,-1500.256060255662,3,34.19823654
twgw_0_2728,2018-04-30 09:36:00,5268.359669847015,371.1482351337234,1,34.76791444
twgw_2_3385,2018-04-07 07:12:00,3636.601296879497,474.67399784594204,3,34.88146572
twgw_2_310,2018-03-06 12:00:00,9853.38494163777,2069.399869532959,3,34.99442062
twgw_2_1590,2018-04-13 21:36:00,6936.293012858507,1552.8256344670576,3,34.89504023
twgw_0_4518,2018-04-07 21:36:00,2618.279513933654,-1498.6932103263841,1,34.19939405
twgw_0_4015,2018-03-23 02:24:00,4378.0423785322955,-1795.79023572067,1,34.44248497
twgw_2_2957,2018-04-11 02:24:00,5776.142710477893,-765.2288571604122,3,34.62507986
twgw_0_1042,2018-03-22 07:12:00,6472.877121823882,3974.1157707806547,1,36.07165909
